condition,stim,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fix.started,fix.stopped,flankers.started,flankers.stopped,Mouse.x,Mouse.y,Mouse.leftButton,Mouse.midButton,Mouse.rightButton,Mouse.time,Mouse.clicked_name,Mouse.started,Mouse.stopped,right_arrow.started,right_arrow.stopped,left_arrow.started,left_arrow.stopped,right_arrow_text.started,right_arrow_text.stopped,left_arrow_text.started,left_arrow_text.stopped,finish_text.started,finish_text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,26.468981299999996,None,space,1.090705600000092,26.468981299999996,None,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Oct_24_2320,OpenSync-Demo,2021.1.4,59.90563664119399,
IR,<<><<,0,0,0,2,,,,,,,27.606691899999987,None,28.606699299999946,None,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003703703703703704, 0.017592592592592594, 0.06759259259259259, 0.13518518518518519, 0.2064814814814815, 0.2638888888888889, 0.2972222222222222, 0.3175925925925926, 0.32407407407407407, 0.32592592592592595, 0.3296296296296296, 0.3333333333333333, 0.34074074074074073, 0.3638888888888889, 0.4064814814814815, 0.4601851851851852, 0.4935185185185185, 0.5092592592592593, 0.524074074074074, 0.5444444444444444, 0.5638888888888889, 0.5842592592592593, 0.5981481481481481, 0.6129629629629629, 0.6129629629629629, 0.6129629629629629]","[-0.45, -0.45, -0.45, -0.45, -0.45, -0.45, -0.45, -0.45, -0.45, -0.45, -0.45, -0.45, -0.45, -0.45, -0.45, -0.45, -0.45, -0.45, -0.45, -0.45, -0.45, -0.45, -0.45, -0.45, -0.45, -0.45, -0.45, -0.45, -0.45, -0.45, -0.45, -0.45, -0.45, -0.45, -0.42777777777777776, -0.40185185185185185, -0.31574074074074077, -0.19166666666666668, -0.053703703703703705, 0.07314814814814814, 0.1675925925925926, 0.21481481481481482, 0.22777777777777777, 0.23148148148148148, 0.23425925925925925, 0.2351851851851852, 0.2361111111111111, 0.2462962962962963, 0.27314814814814814, 0.3037037037037037, 0.32407407407407407, 0.33240740740740743, 0.3435185185185185, 0.35555555555555557, 0.3675925925925926, 0.38055555555555554, 0.38981481481481484, 0.3990740740740741, 0.4, 0.4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2.156206099999963, 2.1701444999998785, 2.186734699999988, 2.202653000000055, 2.2189453000000867, 2.235630599999922, 2.252595200000087, 2.2688752999999906, 2.286031299999877, 2.3026442999998835, 2.3190764000000854, 2.3360236999999415, 2.352325800000017, 2.368835499999932, 2.385939100000087, 2.4023065999999744, 2.4187445000000025, 2.435678399999915, 2.4524154999999155, 2.4692984999999226, 2.4859146999999666, 2.50215060000005, 2.5194506999998794, 2.535923700000012, 2.5523103000000447, 2.5694862000000285, 2.5856512999998813, 2.6022133999999824, 2.6199477000000115, 2.6358823000000484, 2.6520554999999604, 2.6689899000000423, 2.685587299999952, 2.7024054999999407, 2.719470400000091, 2.735579800000096, 2.7530320999999276, 2.769919399999935, 2.785930600000029, 2.8028366999999434, 2.8193054000000757, 2.835727800000086, 2.8524317999999766, 2.8688372999999956, 2.8856364999999187, 2.9025844999998753, 2.9189510999999584, 2.935746800000061, 2.9522649000000456, 2.9688805000000684, 2.9855883000000176, 3.0025874999998905, 3.0191945999999916, 3.0362104999999247, 3.0528406999999333, 3.069094899999982, 3.0860735999999633, 3.102237500000001, 3.118854600000077, 3.13578009999992]",['right_arrow'],0.01313226999991457,None,28.606699299999946,None,28.606699299999946,None,28.606699299999946,None,28.606699299999946,None,,,,001,2021_Oct_24_2320,OpenSync-Demo,2021.1.4,59.90563664119399,
CL,<<<<<,0,1,1,1,,,,,,,29.588903099999925,None,30.589067299999897,None,"[0.5009259259259259, 0.5009259259259259, 0.0, 0.0, 0.0, -0.006481481481481481, -0.0712962962962963, -0.09907407407407408, -0.1685185185185185, -0.24537037037037038, -0.26944444444444443, -0.29259259259259257, -0.3, -0.3101851851851852, -0.32037037037037036, -0.3287037037037037, -0.3388888888888889, -0.3509259259259259, -0.3787037037037037, -0.4083333333333333, -0.43425925925925923, -0.44814814814814813, -0.46944444444444444, -0.48333333333333334, -0.49537037037037035, -0.5046296296296297, -0.5111111111111111, -0.5222222222222223, -0.549074074074074, -0.562962962962963, -0.5648148148148148, -0.5666666666666667]","[0.3074074074074074, 0.3074074074074074, -0.42685185185185187, -0.38425925925925924, -0.3212962962962963, -0.2518518518518518, -0.12129629629629629, -0.0787037037037037, 0.028703703703703703, 0.13425925925925927, 0.1675925925925926, 0.19907407407407407, 0.2111111111111111, 0.22592592592592592, 0.24537037037037038, 0.26481481481481484, 0.2833333333333333, 0.30185185185185187, 0.33055555555555555, 0.35833333333333334, 0.3814814814814815, 0.39814814814814814, 0.41759259259259257, 0.42685185185185187, 0.43148148148148147, 0.4324074074074074, 0.43333333333333335, 0.43333333333333335, 0.4305555555555556, 0.4305555555555556, 0.4305555555555556, 0.4305555555555556]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4.140377599999965, 4.152790099999947, 4.169215500000064, 4.18543499999987, 4.202314899999919, 4.221145299999989, 4.239997299999914, 4.253698100000065, 4.269264900000053, 4.2857718000000204, 4.302896799999871, 4.319044800000029, 4.336395000000039, 4.352543700000069, 4.368990899999972, 4.385649300000068, 4.402599999999893, 4.419025200000078, 4.435746999999992, 4.452710900000056, 4.469212900000002, 4.485876499999904, 4.50267000000008, 4.519739300000083, 4.536200100000087, 4.552610700000059, 4.56925769999998, 4.587745300000051, 4.6052477999999155, 4.619148199999927, 4.635981899999933, 4.652340200000026]",['left_arrow'],0.011987169999883918,None,30.589067299999897,None,30.589067299999897,None,30.589067299999897,None,30.589067299999897,None,,,,001,2021_Oct_24_2320,OpenSync-Demo,2021.1.4,59.90563664119399,
CR,>>>>>,0,2,2,0,,,,,,,31.105550900000026,None,32.10601919999999,None,"[-0.5472222222222223, 0.0, 0.000925925925925926, 0.000925925925925926, 0.000925925925925926, 0.000925925925925926, 0.000925925925925926, 0.0, -0.001851851851851852, -0.002777777777777778, -0.003703703703703704, -0.003703703703703704, 0.0, 0.021296296296296296, 0.053703703703703705, 0.08888888888888889, 0.1638888888888889, 0.22777777777777777, 0.2824074074074074, 0.32685185185185184, 0.3611111111111111, 0.3990740740740741, 0.4398148148148148, 0.4824074074074074, 0.5203703703703704, 0.5425925925925926, 0.5546296296296296, 0.5611111111111111, 0.5814814814814815, 0.5990740740740741, 0.6166666666666667, 0.6259259259259259, 0.6296296296296297, 0.6296296296296297, 0.6296296296296297, 0.6296296296296297]","[0.38796296296296295, -0.44907407407407407, -0.44814814814814813, -0.4462962962962963, -0.4425925925925926, -0.44074074074074077, -0.4388888888888889, -0.43333333333333335, -0.42407407407407405, -0.4148148148148148, -0.4064814814814815, -0.39537037037037037, -0.37777777777777777, -0.33796296296296297, -0.27870370370370373, -0.2037037037037037, -0.03518518518518519, 0.08333333333333333, 0.1814814814814815, 0.24537037037037038, 0.2833333333333333, 0.3175925925925926, 0.3453703703703704, 0.3638888888888889, 0.37592592592592594, 0.3851851851851852, 0.38981481481481484, 0.39166666666666666, 0.40185185185185185, 0.41203703703703703, 0.4203703703703704, 0.425, 0.42685185185185187, 0.42685185185185187, 0.42685185185185187, 0.42685185185185187]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5.655515500000092, 5.669464699999935, 5.685760999999957, 5.702495999999883, 5.7198207999999795, 5.73567869999988, 5.752664000000095, 5.769096300000001, 5.786213599999883, 5.80292089999989, 5.818972699999904, 5.835742400000072, 5.852483800000073, 5.869243800000049, 5.885336999999936, 5.902782800000068, 5.919068299999935, 5.935704400000077, 5.952613700000029, 5.969019200000048, 5.985745799999904, 6.002515899999935, 6.01917329999992, 6.035946499999909, 6.052601200000026, 6.068797099999983, 6.086022899999989, 6.102216699999872, 6.119798299999957, 6.1362642999999935, 6.152205699999968, 6.16882570000007, 6.185666800000035, 6.202244999999948, 6.218727299999955, 6.235789000000068]",['right_arrow'],0.01351286999988588,None,32.10601919999999,None,32.10601919999999,None,32.10601919999999,None,32.10601919999999,None,,,,001,2021_Oct_24_2320,OpenSync-Demo,2021.1.4,59.90563664119399,
IL,>><>>,0,3,3,3,,,,,,,32.689223500000026,None,33.68907130000002,None,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.000925925925925926, -0.001851851851851852, -0.002777777777777778, -0.003703703703703704, -0.003703703703703704, -0.005555555555555556, -0.009259259259259259, -0.012962962962962963, -0.03148148148148148, -0.06574074074074074, -0.15555555555555556, -0.2324074074074074, -0.30277777777777776, -0.3527777777777778, -0.3731481481481482, -0.38796296296296295, -0.40370370370370373, -0.412962962962963, -0.41944444444444445, -0.4287037037037037, -0.4425925925925926, -0.4546296296296296, -0.48148148148148145, -0.5037037037037037, -0.5361111111111111, -0.5592592592592592, -0.575, -0.5824074074074074, -0.5851851851851851, -0.5861111111111111]","[-0.45, -0.45, -0.45, -0.45, -0.45, -0.44907407407407407, -0.44814814814814813, -0.44722222222222224, -0.4462962962962963, -0.44537037037037036, -0.44537037037037036, -0.44537037037037036, -0.4425925925925926, -0.42685185185185187, -0.3907407407407407, -0.29444444444444445, -0.1814814814814815, -0.009259259259259259, 0.08518518518518518, 0.1527777777777778, 0.1962962962962963, 0.21203703703703702, 0.2212962962962963, 0.23148148148148148, 0.23796296296296296, 0.24074074074074073, 0.2462962962962963, 0.2518518518518518, 0.2564814814814815, 0.2675925925925926, 0.27870370370370373, 0.30462962962962964, 0.32592592592592595, 0.34629629629629627, 0.36203703703703705, 0.37037037037037035, 0.37407407407407406]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7.238922999999886, 7.252607200000057, 7.26883399999997, 7.285376499999984, 7.302469400000064, 7.319350900000018, 7.3355699999999615, 7.352680199999895, 7.368942000000061, 7.385561600000074, 7.402565399999958, 7.419103299999961, 7.4356451999999535, 7.452280299999984, 7.468824600000062, 7.485787000000073, 7.502532700000074, 7.519253499999877, 7.537051999999903, 7.5529271999998855, 7.569110099999989, 7.5859978000000865, 7.602303699999993, 7.619011300000011, 7.635871799999904, 7.652327699999887, 7.669000800000049, 7.685700499999939, 7.702280700000074, 7.719243100000085, 7.735862100000077, 7.75230959999999, 7.769379800000024, 7.785718200000019, 7.80236130000003, 7.819378299999926, 7.836019300000089]",['left_arrow'],0.01298116999987542,None,33.68907130000002,None,33.68907130000002,None,33.68907130000002,None,33.68907130000002,None,,,,001,2021_Oct_24_2320,OpenSync-Demo,2021.1.4,59.90563664119399,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.28900839999983,None,,,,,,,
